product_name;generic_name;quantity;packaging_tags;brands;categories_tags;origins;manufacturing_places;labels_tags;purchase_places;stores;countries_fr;ingredients_text;traces_tags;additives_tags;pnns_groups_1;main_category_fr
grilled Cajun chicken breast, spicy wedges & sour cream;;1 papaya;label-plastic;sainsbury's,by sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits;brazil;;;london,united kingdom;sainsbury's;Royaume-Uni;Œuf : moyen frais, catégorie Canada A. / Fromage cheddar fondu : fromage (lait, ingrédients de lait modifié, culture bactérienne, sel, présure ou enzyme microbienne, chlorure de calcium, colorant, lipase, acide sorbique), ingrédients de lait modifié, eau, citrate de sodium ou phosphate de sodium, glucose, acide acétique, sel, acide sorbique, lécithine de soya, carboxyméthylcellulose, colorant. / Galette de saucisse : Porc, eau, substances laitières modifies, sel, extrait sec de sirop demaïs, dextrose, épice. Contient: lait. /Muffin anglais: farine de blé enrichie, eau, levure, semoule de maïs, sel, huile végétale (canola ou soya), glucose-fructose/sucre, phosphate monocalcique, propionate de calcium, sulfate de calcium, chlorure d'ammonium, gluten de blé, esters tartriques des mono-et diglycérides acétylés. / Margarine : huile de canola, eau, huiles de palme et de palmiste modifiées, sel,monoglycérides végétales, lécithine de soja, benzoate de sodium, acide citrique, arôme naturel, colorant, palmitate de vitamine A, vitamine D3. / Huile pour le gril : huile de canola, lécithine de soya, arôme naturel.;;;Fruits and vegetables;Fruits
Taste the Difference Raspberry Conserve;;;;M&S;;;;;;;France;Mélange de légumes en proportion variable (66%) (Panais - Patates douces - Betterave) - Hui|e de tournesol - Sel de mer.  ;;;;
Broccoli;;;;;;;;;;;Royaume-Uni;long grain brown rice  ;;;;
Mild Cheddar with Onions & Chives;;;;;;;;;;;Royaume-Uni;Organic blue Agave nectar.;;;unknown;
Tortellini;;;;;en:sandwiches,en:sandwiches-filled-with-cold-cuts,en:ham-sandwiches,fr:sandwich-au-jambon-et-au-coleslaw;;;;;;France;Organic Raw Blue Agave Nectar;;;Composite foods;Sandwichs
Ravioli Crab & lobster;;;;Mark And Spencer;;;;;;;France;Organic coconut palm sugar;;;;
Hello Panda;;;;;en:pear-and-blackcurrant-juice;;;;;;Royaume-Uni;"sorbitol, maltitol, gum base, artificial and natural flavoring, mannitol"";"" less than 2% of : acacia, acesulfame potassium, BHT (to maintain freshness), blue 2 lake, candelilla wax, glycerin, red 40 lake, soy lecithin, sucralose and titanium dioxide (color)";;;unknown;en:Pear-and-blackcurrant-juice
Poulet Tikka Masala Et Riz Pilaf;;;;;;;;;;;France;Sugar, corn syrup, artificial and natural flavoring, BHT, cottonseed oil, glycerin, red 40 lake, _soy_ lecithin and titanium dioxide (color).;;;;
Mini bites;;;;;;;;;;;Royaume-Uni;Sugar, corn syrup, gum base, adipic acid, artificial flavoring, BHT, citric acid, cottonseed oil, glycerin, malic acid, Red 40 lake and _soy_ lecithin.;;;;
Extra Ginger Beer Reed's;;;;;;;;;South Carolina;;États-Unis;Sultanas (33%), Sugar, Cider (13%), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Palm Oil, Humectant: Glycerine, Orange Peel, Candied Citrus Peel (Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acid: Citric Acid), Raisins, Sherry (1.7%), Rum, Brandy, Treacle, Molasses, Lemon Peel, Mixed Spice (Coriander, Cinnamon, Clove, Fennel, Ginger, Nutmeg, Cardamom), Salt, Yeast, Orange Oil;;;;
Balsamic vinegar of Modena;;120g;;M&S;;;;;;;France;Sultanas (33%), Sugar, Cider (13%), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Palm Oil, Humectant: Glycerine, Orange Peel, Candied Citrus Peel (Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acid: Citric Acid), Raisins, Sherry (1.7%), Rum, Brandy, Treacle, Molasses, Lemon Peel, Mixed Spice (Coriander, Cinnamon, Clove, Fennel, Ginger, Nutmeg, Cardamom), Salt, Yeast, Orange Oil;;;;
100 pure vermont organic maple syrup;;;;;;;;;;;France;"Cranberries (18%) (Sugar, Cranberries, Sunflower Oil), Demerara Sugar, Orange and Cranberry Marmalade (11%) (Glucose-Fructose Syrup, Oranges, Cranberries, Acid: Citric Acid""; Gelling Agent: Pectin; Sodium Citrate), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Stout (Wheat, Barley) (7%), Orange Liqueur (7%), Sultanas (6%), Currants (6%), Vegetable Suet (Palm Oil, Rice Flour, Sunflower Oil), Candied Citrus Peel (Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acid: Citric Acid), Almonds (3%), Sherry (3%), Pecan Nuts (2.5%), Cream (Cows' Milk), Water, Mixed Spice (Coriander, Cinnamon, Clove, Fennel, Ginger, Nutmeg, Cardamom), Salt, Yeast, Spirit Vinegar, Wheat Protein, Emulsifier: Mono- and Diglycerides of Fatty Acids, Mono- and DiacetylTartaric Acid Esters of Mono- and Diglycerides of Fatty Acids;"" Rapeseed Oil, Palm Oil, Flour Treatment Agent: Ascorbic Acid";;;;
prunes;Wheat Flour;1.5 kg;bag-paper;Sainsbury's,by sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:flours,en:plain-flour;;United Kingdom;en:vegetarian,en:vegan;london,uk;Sainsbury's;Royaume-Uni;Durum Wheat Semolina;;en:e170,en:e375;Cereals and potatoes;Farines
British plain flour;Canned pineapple slices in pineapple juice;425 g (255 g);can,metal;Sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:canned-plant-based-foods,en:fruits-based-foods,en:canned-fruits,en:canned-fruits-in-juice,en:pineapple-in-juice;;Thailand;en:vegetarian,en:vegan;;;Royaume-Uni;Durum wheat semolina;;;Fruits and vegetables;Conserves
Apricot layered soya pots;;;;Mark & Spencer;;;;;;;France;Durum wheat Semolina  ;;;;
Pulled Pork & Chorizo Feijoada;;250 g;produit;;;;;;;;France;Micro distilled from cherries;;;;
sharon's sorbet mango;Baguette;400g;fresh;Sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads;England;;;Kilburn,London,England,united kingdom;Sainsbury's;Royaume-Uni;Pure honey (100%);;;Cereals and potatoes;Pains
Spaghetti sauce with mushrooms;;;;Trader Joe's;en:dairies,en:yogurts,en:low-fat-yogurts;;;;;;États-Unis;Scottish Lochmuir™ Salmon (_Fish_) (97%) - Salt.;;;Milk and dairy products;Yaourts
Roasted Vegetables Lasagne;;1 l;bottle,plastic;Sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:sunflower-seeds-and-their-products,en:vegetable-fats,en:vegetable-oils,en:sunflower-oils;;United Kingdom;en:vegetarian,en:vegan;;;Royaume-Uni;High Fructose Corn Syrup, Vinegar, Tomato Paste, Modified Food Starch, contains less than 2% of: Salt, Pineapple Juice Concentrate, Natural Smoke Flavor, Spices, Caramel, Sodium Benzoate (as a Preservative), Molasses, Corn Syrup, Garlic, Sugar, Tamarind, Natural Flavor;;;Fat and sauces;Huiles
Fall Hornin' pumpkin ale;;12 oz (340 g);glass;Trader's Joe;;;;;California;;États-Unis;High Fructose Corn Syrup, Distilled Vinegar, Tomato Paste, Honey, Thickener (E1442), Salt, Natural Flavor, Colour (Caramel E150a), Pineapple Juice Concentrate, Spices, Preservative (E211), Natural Smoke Flavor, Molasses, Dried Garlic, Corn Syrup, Sugar, Tamarind.  ;en:eggs,en:milk,en:peanuts,en:soybeans,en:shellfish,en:tree-nuts;;unknown;
Rainbow Cherry;Herrings;280 g;plastique;Marks & Spencer;en:harengs,en:poissons,en:produits-de-la-mer;;;en:forever-fish;;Marks & Spencer;France;High Fructose Corn Syrup, Distilled Vinegar, Tomato Paste, Molasses, Salt, Contains Less Than 2% of: Spice, Modified Food Starch, Natural Flavor, Garlic, Onion, Pineapple Juice Concentrate, Caramel Color, Natural Smoke Flavor, Sodium Benzoate As A Preservative, Sugar, Tamarind.;;en:e334;unknown;en:Harengs
100% desert mesquite honey;;1 personne;;Marks & Spencer;;;;;;;France,Royaume-Uni;ORGANIC WHEAT SHELL PASTA, CHEDDAR CHEESE (CULTURED PASTEURIZED _MILK_, SALT, NON-ANIMAL ENZYMES), WHEY, BUTTER, NONFAT MILK, SALT, SODIUM PHOSPHATE, ANNATTO EXTRACT FOR COLOR;;;unknown;
Petite Snack Crunchers Kosher Dills;;420 g;pot;;en:groceries,en:sauces,en:pasta-sauces,en:bolognese-sauce;;;;;;Suisse;ORGANIC _WHEAT_ MACARONI, CHEDDAR CHEESE (CULTURED PASTEURIZED _MILK_, SALT, NON-ANIMAL ENZYMES), WHEY, NONFAT _MILK_, BUTTER, SALT, CULTURED WHOLE _MILK_, SODIUM PHOSPHATE, ANNATTO EXTRACT FOR COLOR.;;;Fat and sauces;Epicerie
Kosher Dills;;;;;;;;;;;France;Organic _Wheat_ Flour, Organic Expeller-pressed Sunflower Oil, Salt, Organic Valley Organic Cheddar _Cheese_ (organic pasteurized _milk_, cheese culture, salt, enzymes), Organic Annatto Extract (for color), Yeast, Organic Paprika, Organic cultured whole _Milk_, Organic nonfat _Milk_, Organic Ground _Celery_ Seed, Organic Onion Powder, Natural Vitamin E (to protect flavor) ;;;;
Lindt Excellence 85% Cocoa Extra Dark;;;;;;;;;;;France;Bread crumbs [Enriched wheat flour (Niacin, reduced iron, thiamine, mononitrate, riboflavin, folic acid), distilled vinegar, contains 2% or less of : sugar, leavening, (sodium bicarbonate, sodium acid pyrophosphate, monocalcium phosphate), vegetable oil (canola, &/or soybean &/or sunflower oils), salt, yeast, spice extractive, yeast nutrients, (Ammonium chloride calcium sulfate), dough conditioners (L - cysteine monochloride, azodicarbonamide)], Dehydrated vegetables (Onion, celery, dried parsley, garlic), sugar, salt, spices,  Chicken flavoring (salt, autolyzed yeast extract, dried chicken broth, chicken fat, dextrose, corn starch, maltodextrin, natual flavor), Natural flavoring, Palm oil, Disodium inosinate and disodium guanylate (flavor enhancers);;;;
a touch of sea salt;;;;Trader Joe's;;;;;;;États-Unis;Eau, extrait de graines de soja, sucre de canne.;;;unknown;
Creation Hazelnut Torte Milk Chocolate;;;;;;;;;;;France;Granny Smith Apples;;;;
Tic Tac;Raspberry conserve;340g;glass,jar,metal;Sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:spreads,en:breakfasts,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-preserves,en:jams,en:fruit-jams,en:berry-jams,en:raspberry-jams;;UK;en:vegetarian,en:vegan;UK;Sainsbury's;Royaume-Uni;Soymilk (Water, _Soybeans_), Filtered Water, Cane Sugar, Blueberry Purée, Less Than 2% of: _Milk_ Protein Concentrate, Isolated _Soy_ Protein, Grape Juice, Tricalcium Phosphate, Vanilla Extract, Vegetable and Berry Extracts (Purple Carrot, Black Carrot, Lingonberry), Natural Flavors, Carrageenan, Sea Salt, Zinc Gluconate, Agar, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12 (Cyanocobalamin).;;en:e330,en:e331,en:e440;Sugary snacks;Confitures
Mini Cups;;;;;;;;;;;Australie;apple juice, mango puree, orange juice, banana puree, isolated _soy_ protein, filtered water, less than 2% of: tricalcium phosphate, natural flavors, citric acid, beta carotene, zinc gluconate, vitamin B6 (pyridoxine hydrochloride), vitamin B12 (cyanocobalamin);;;;
Nutella;Fromage cheddar en tranches avec des oignons et de la ciboulette au lait pasteurisé.;160 g;frais,plastique,barquette;Marks & Spencer;en:dairies,en:cheeses,en:cheeses-from-the-united-kingdom,en:cow-cheeses,en:cheeses-from-england,en:cheddar-cheese,en:cheddar-slices;Royaume-Uni;Royaume-Uni,Irelande;en:green-dot;France,Paris;Marks & Spencer;France;Unbleached Enriched _Wheat_ Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), Sugar, Vegetable Oils (Palm Kernel, Palm and/or Interesterified and Hydrogenated _Soybean_ and/or Hydrogenated Cottonseed), Milk Chocolate (Sugar, Cocoa Butter, Whole _Milk_ Powder, Chocolate Liquor Processed with Alkali (Dutched), Chocolate Liquor, Skim _Milk_ Powder, _Soy_ Lecithin, Vanilla Extract), _Eggs_, Contains 2 Percent or Less of: Cornstarch, Dehydrated Reduced Mineral _Whey_, _Milk_, Nonfat _Milk_, _Egg_ Whites, Salt, Annatto Extract (for Color), Caramel Color, _Soy_ Lecithin, Natural Flavors and Leavening (Baking Soda).;;;Milk and dairy products;Fromages de vache
Nutella;;;;;;;;;;;France;"Unbromated unbleached enriched _wheat_ flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), water, oats, high fructose corn syrup, yeast, _soybean_ oil"";"" contains 2% or less of: salt, _wheat_ _gluten_, butter (_milk_), sodium stearoyl lactylate, citric acid, calcium propionate, sorbic acid, monoglycerides, diglycerides, whey, malted barley flour, _soy_ lecithin.";;;;
custard;;12 OZ (340 g);plastic;Trader Joe's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas;;;;;;États-Unis;Unbleached enriched wheat flour [flour, niacin, reduced iron, thiamin mononirate (vitamin B1), riboflavin, (vitamin B2), folic acid], semi-sweet chocolate [sugar, chocolate liquor, cocoa butter, chocolate liquor processed with alkali (dutched), milk fat, soy lecithin added as an emulsifier, vanilla extract], sugar, vegetable oils (palm and/or interesterified and hydrogenated soybean and/or hydrogenated cottonseed), nonfat milk, whole eggs, contains 2 percent or less of: cornstarch, egg whites, salt, natural flavor, baking soday and lecithin;;;Cereals and potatoes;Pâtes alimentaires
Julienne sliced sun dried tomatoes in olive oil;;1;;Nuovo Pasta Production Ltd;;;;;;;États-Unis;UNBLEACHED ENRICHED _WHEAT_ FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), DARK CHOCOLATE (SUGAR, CHOCOLATE LIQUOR, CHOCOLATE LIQUOR PROCESSED WITH ALKALI [DUTCHED], COCOA BUTTER, BUTTER OIL, _SOY_ LECITHIN, VANILLA EXTRACT), SUGAR, VEGETABLE OILS (PALM AND/OR INTERESTERIFIED AND HYDROGENATED _SOYBEAN_ AND/OR HYDROGENATED COTTONSEED), _EGGS_, CONTAINS 2 PERCENT OR LESS OF: CORNSTARCH, _EGG_ WHITES, DEHYDRATED SKIM _MILK, SALT, _SOY_ LECITHIN, NATURAL FLAVORS AND LEAVENING (BAKING SODA).;;;;
Cracked Black Pepper & Salted Popped Potato Chips;Biscuts with Milk Cream;;;meiji;en:sugary-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies,en:snacks;;;;California;;États-Unis;UNBLEACHED ENRICHED _WHEAT_ FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), SUGAR, VEGETABLE OILS (PALM KERNEL, PALM AND/OR INTERESTERIFIED AND HYDROGENATED _SOYBEAN_ AND/OR HYDROGENATED COTTONSEED), DARK CHOCOLATE (SUGAR, CHOCOLATE LIQUOR, CHOCOLATE LIQUOR PROCESSED WITH ALKALI [DUTCHED], COCOA BUTTER, BUTTER OIL _SOY_ LECITHIN, VANILLA EXTRACT), _EGGS_, CONTAINS 2 PERCENT OR LESS OF: CORNSTARCH, _EGG_ WHITES, DEHYDRATED SKIM _MILK_, SALT, NATURAL FLAVORS, _SOY_ LECITHIN, MILKFAT AND LEAVENING (BAKING SODA).;;;Sugary snacks;Cookies
Wrap Poulet à la Jamaïcaine;;;;Marks & Spencer;;;;;;;France;"Unbromated unbleached enriched _wheat_ flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), water, yeast, _wheat_ flour, high fructose corn syrup, soybean oil"";"" 2% or less of: salt, rye flour, potato flour, lactic acid, monoglycerides, diglycerides, sodium stearoyl lactylate, citric acid, calcium propionate, sorbic acid, _wheat_ _gluten_, butter (_milk_), whey, malted barley flour, _soy_ lecithin.";;;;
Ikea Lachs;;;;M&S;;;;;;;France;Unbleached Enriched _Wheat_ Flour (Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), Sugar, Vegetable Oils (Palm And/Or Interesterified And Hydrogenated _Soybean_ And/Or Hydrogenated Cottonseed), _Milk_ Chocolate (Sugar, Cocoa Butter, Cocoa Butter, Chocolate Liquor Processed With Alkali (Dutched), Chocolate Liquor, Skim _Milk_ Powder, _Soy_ Lecithin, Vanilla Extract), _Eggs_, Contains 2 Percent Or Less Of: Cornstarch, Dehydrated Reduced Mineral _Whey_, _Milk_, Nonfat _Milk_, _Egg_ Whites, Salt, Annatto Extract (for color), Caramel Color, _Soy_ Lecithin, Natural Flavors, Leavening (Baking Soda);;;;
Lait de coco;;;;;;;;;;;France;UNBLEACHED ENRICHED _WHEAT_ FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID), WHITE CHOCOLATE (SUGAR, COCOA BUTTER, SKIM _MILK_ POWDER, _SOY_ LECITHIN, VANILLA EXTRACT), SUGAR, VEGETABLE OILS (PALM AND/OR INTERESTERIFIED AND HYDROGENATED _SOYBEAN_ AND/OR HYDROGENATED COTTONSEED), _MACADAMIA NUTS_, _BUTTER_, BROWN SUGAR (SUGAR, INVERT SUGAR, MOLASSES), _EGGS_, CONTAINS 2 PERCENT OR LESS OF: LEAVENING (BAKING SODA, CREAM OF TARTAR, AMMONIUM BICARBONATE), SALT, CORNSTARCH, NATURAL FLAVORS AND _TREE NUT_ MEAL (_PECAN_, _MACADAMIA_, _WALNUT_, _CASHEW_, _ALMOND_);;;;
Filets de Colin d'Alaska;Ginger Beer;12 fl oz;glass,bottle;Reed's;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:sodas-with-exotic-fruits,en:sugared-beverages;;California,USA;en:gluten-free,en:no-gmos,en:no-preservatives;Northville,Michigan,United States;Meijer;États-Unis;UNBLEACHED ENRICHED _WHEAT_ FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), MILK CHOCOLATE (SUGAR, COCOA BUTTER, SKIM _MILK_ POWDER, CHOCOLATE LIQUOR, BUTTER OIL, _SOY_ LECITHIN, VANILLA EXTRACT), SUGAR, VEGETABLE OILS (PALM AND/OR INTERESTERIFIED AND HYDROGENATED _SOYBEAN_ AND/OR HYDROGENATED COTTONSEED), MACADAMIA _NUTS_, BUTTER, BROWN SUGAR (SUGAR, INVERT SUGAR, MOLASSES), _EGGS_, _COCONUT_, CONTAINS 2 PERCENT OR LESS OF: LEAVENING (BAKING SODA, CREAM OF TARTAR, AMMONIUM BICARBONATE), SALT, CORNSTARCH, NATURAL FLAVORS AND TREE NUT MEAL (_PECAN_, MACADAMIA, _WALNUT_, CASHEW, _ALMOND_).;;;Beverages;Sodas aux fruits
Blueberry Muffins;;250 ml;bouteille;De Nigris;it:vinaigre-balsamique;;Italie;en:pgi;France;;France;Unbleached enriched wheat flour, raisins, oats, vegetable oils (palm and/or interesterified and hydrogenated soybean), sugar, fructose, brown sugar;;en:e150d,en:e224;unknown;it:Vinaigre-balsamique
Haggis;;;;;;;;;;;France;Unbleached Enriched _Wheat_ Flour (Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), Sugar, Vegetable (Palm Kernel, Palm And/Or Interesterfied And Hydrogenated _Soybean_ And/Or Hydrogenated Cottonseed), Semi-Sweet Chocolate (Sugar, Chocolate Liquor, Cocoa Butter, Chocolate Liquor Processed With Alkali (Dutched), _Milkfat_, _Soy_ Lecithin, Vanilla Extract), Nonfat _Milk_, Whole _Eggs_, Contains 2% Or Less Of: Cornstarch, _Egg_ Whites, Dehydrated Skim _Milk_, Salt, _Soy_ Lecithin, _Milkfat_, Peppermint Oil,  Natural Flavors, Leavening (Baking Soda);;;unknown;
Milk Duds;;946 ml ;;usda organic butternut mountain farm;;;;;;;Canada;Unbleached Enriched _Wheat_ Flour (Flour, Niacin, Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), _Butter_, Sugar, Cornstarch, _Eggs_, Contains 2 Percent Or Less Of: Dextrose, Leavening (Baking Soda, Cream Of Tartar), Nonfat _Milk_, _Soy_ Lecithin;;;;
Whoppers;;250 g;;by sainsbury's;;;;;;;Royaume-Uni;Unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin B1], riboflavin [vitamin B2], folic acid), cheddar cheese (cultured milk, salt, enzymes, annatto), vegetable oils (canola, sunflower and/or soybean), contains 2 percent or less of: salt, yeast, autolyzed yeast, sugar, spices, dehydrated onions, leavening (monocalcium phosphate, ammonium bicarbonate, baking soda) and annatto extract, beet juice concentrate, paprika extract, paprika, turmeric extract, huito juice concentrate, watermelon juice concentrate for color;;;unknown;
Good & Plenty;;;;;;;;;;;Royaume-Uni;Unbleached enriched _wheat_ flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin B1], riboflavin [vitamin B2], folic acid), cheddar _cheese_ ([cultured _milk_, salt, enzymes], annatto), vegetable oils (canola, sunflower and/or soybean), contains 2 percent or less of: salt, yeast, sugar, autolyzed yeast, leavening (baking soda, monocalcium phosphate, ammonium bicarbonate), paprika, spices (contains celery) and dehydrated onions.;;;;
Milk Duds;;;;;;;;;;;France;UNBLEACHED ENRICHED _WHEAT_ FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CHEDDAR CHEESE ([CULTURED _MILK_, SALT, ENZYMES], ANNATTO), VEGETABLE OILS (CANOLA, SUNFLOWER AND/OR _SOYBEAN_), SALT, CONTAINS 2 PERCENT OR LESS OF: SUGAR, YEAST, WHEY, AUTOLYZED YEAST, YELLOW CORN FLOUR, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE, AMMONIUM BICARBONATE), CHEDDAR CHEESE (MILK, SALT, CULTURES, ENZYMES), TORULA YEAST, PAPRIKA, ENZYME MODIFIED CHEDDAR CHEESE (MILK, CULTURES, SALT, ENZYMES), DEHYDRATED ONIONS, SPICES (CONTAINS CELERY), YEAST EXTRACT, DEHYDRATED GARLIC, CITRIC ACID, PAPRIKA EXTRACT FOR COLOR, LACTIC ACID, CALCIUM LACTATE. NATURAL FLAVORS AND MILKFAT.;;;;
Sugar free hard candy;;500g;bag,paper;Sainsbury's,by sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:flours;;;;;;Royaume-Uni;UNBLEACHED ENRICHED _WHEAT_ FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), VEGETABLE OILS (CANOLA, SUNFLOWER AND/OR _SOYBEAN_), NONFAT _MILK_*, SALT, CONTAINS 2 PERCENT OR LESS OF: YEAST, LEAVENING (AMMONIUM BICARBONATE, BAKING SODA, MONOCALCIUM PHOSPHATE), SUGAR, PAPRIKA, SPICES AND DEHYDRATED ONIONS. *ADDS A TRIVIAL AMOUNT OF CHOLESTEROL.;;en:e170,en:e375;Cereals and potatoes;Farines
Chips de légumes;;;;;;;;;;;Royaume-Uni;Unbleached enriched _wheat_ flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin B1], riboflavin [vitamin B2], folic acid), cheddar _cheese_ ([cultured _milk_, salt, enzymes], annatto), vegetable oils (canola, sunflower and/or soybean), contains 2 percent or less of: salt, yeast, sugar, autolyzed yeast, leavening (baking soda, monocalcium phosphate, ammonium bicarbonate), paprika, spices (contains celery) and dehydrated onions.;;;unknown;
Schiff B-1 Whole Rice;;;;;;;;;;;France;Unbleached enriched _wheat_ flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin B1], riboflavin [vitamin B2], folic acid), cheddar _cheese_ ([cultured _milk_, salt, enzymes], annatto), vegetable oils (canola, sunflower and/or soybean), contains 2 percent or less of: salt, yeast, sugar, autolyzed yeast, leavening (baking soda, monocalcium phosphate, ammonium bicarbonate), paprika, spices (contains celery) and dehydrated onions.;;;;
Cream on Top strawberry Organic Yogurt;;;;;;;;;;;France;Farine de _blé_ enrichie (farine, niacine, fer, mononitrate de thiamine (vitamine B1), riboflavina (vitamine B2), acide folique), sucre, morceaux de chocolat noir 16% (sucre, pâte de cacao, beurre de cacao, dextrose, emulsifiant : lecithine de _soja_, extrait de vanille, _huile de beurre_), huile de palme, _noix de pécan_ 10%, _beurre_, sucre brun (sucre, sucre inverti, mélasse), _oeufs_, poudres à lever : carbonate acide de sodium, tartrates de potassium et carbonates d'ammonium, sel, arômes, _fruits à coques moulus_ (_pécan_, _macadamia_, _noix_, _cajou_, _amande_);;;;
2 british pork boneless loin steaks;;2;;Mark and Spencer;;;;;;;France;Morceaux de chocolat noir 38% (sucre, pâte de cacao, beurre de cacao, dextrose, émulsifiant (lécithine de _soja_), extrait de vanille, _huile de beurre_), farine de _blé_ enrichie (farine, niacine, fer, mononitrate de thiamine (Vitamine B1), riboflavine (Vitamine B2), acide folique), sucre, _beurre_, huile de palme, sucre brun (sucre, sucre inverti, mélasse), _oeufs_, poudres à lever (carbonate acide de sodium, tartrates de potassium et carbonates d'ammonium), sel, colorant (caramel au sulfite d'ammonium), arôme.;;;;
Tartiflette;;;;;;;;;;;Royaume-Uni;FARINE DE BLÉ ENRICHIE (FARINE, NIACINE, FER, MONONITRATE DE THIAMINE (VITAMINE B1), RIBOFLAVINE (VITAMINE B2), ACIDE FOLIQUE), CHOCOLAT NOIR 23% (SUCRE, PÂTE DE CACAO, BEURRE DE CACAO, DEXTROSE, ÉMULSIFIANT: LÉCITHINE DE SOJA, EXTRAIT DE VANILLE, HUILE DE BEURRE), SUCRE, HUILE DE PALME, BEURRE, SUCRE BRUN (SUCRE, SUCRE INVERTI, MELASSE), ŒUFS, POUDRE À LEVER: CARBONATE ACIDE DE SODIUM, TARTRATES DE POTASSIUM ET CARBONATES D’AMMONIUM, SEL ET ARÔMES.;;;;
crips & colourful mixed leaf salad;Feijoada brésilienne au porc, haricots noirs, bacon fumé et chorizo avec du riz basmati et de la coriandre;400 g;plastique,carton;Marks & Spencer,M&S;en:meals,en:meals-with-meat,en:microwave-meals,en:pork-meals,fr:feijoada;Espagne,Royaume-Uni;Royaume-Uni;;France;Marks & Spencer;France;Farine de _blé_ enrichie (farine, niacine, fer réduit, mononitrate de thiamine (vitamine B1), riboflavine (vitamine B2), acide folique), chocolat au lait 20% (sucre, beurre de cacao, poudre de _lait écrémé_, pâte de cacao, _huile de beurre_, émulsifiant : lécithine de _soja_, extrait de vanille), sucre, huile de palme, _noix de macadamia_ 5%, _beurre_, sucre brun (sucre, sucre inverti, mélasse), _oeufs_, noix de coco rapée desséchée, poudres à lever : carbonate acide de sodium, tartrates de potassium, carbonates d'ammonium, sel, arômes, _fruits à coque_ moulus (_pécan_, _macadamia_, _noix_, _cajou_, _amande_);;en:e252,en:e250,en:e160c,en:e301,en:e441;Composite foods;Plats à base de viande
